Loaded data with shape: (100, 201, 1024)
##### Running the solver on the given dataset #####
Starting solver for Burgers' equation
Using device: cuda
Internal time step dt_internal = 5.992112452678286e-07
Internal step: 1000 Current time: 0.0005992089281789958
Internal step: 2000 Current time: 0.0011983986478298903
Internal step: 3000 Current time: 0.0017975883092731237
Internal step: 4000 Current time: 0.002396864118054509
Internal step: 5000 Current time: 0.0029961701948195696
Internal step: 6000 Current time: 0.00359547627158463
Internal step: 7000 Current time: 0.004194782115519047
Internal step: 8000 Current time: 0.004794088192284107
Internal step: 9000 Current time: 0.005393394269049168
Internal step: 10000 Current time: 0.005992700345814228
Internal step: 11000 Current time: 0.0065920064225792885
Internal step: 12000 Current time: 0.007191312499344349
Internal step: 13000 Current time: 0.007790618576109409
Internal step: 14000 Current time: 0.008389475755393505
Internal step: 15000 Current time: 0.008988316170871258
Internal step: 16000 Current time: 0.00958715658634901
Recorded solution at t = 0.009999999776482582 for output index 1
Internal step: 17000 Current time: 0.010185640305280685
Internal step: 18000 Current time: 0.010784480720758438
Internal step: 19000 Current time: 0.01138332113623619
Internal step: 20000 Current time: 0.011982161551713943
Internal step: 21000 Current time: 0.012581001967191696
Internal step: 22000 Current time: 0.013179842382669449
Internal step: 23000 Current time: 0.013778682798147202
Internal step: 24000 Current time: 0.014377523213624954
Internal step: 25000 Current time: 0.014976363629102707
Internal step: 26000 Current time: 0.01557520404458046
Internal step: 27000 Current time: 0.01617489755153656
Internal step: 28000 Current time: 0.016774669289588928
Internal step: 29000 Current time: 0.017374441027641296
Internal step: 30000 Current time: 0.017974212765693665
Internal step: 31000 Current time: 0.018573984503746033
Internal step: 32000 Current time: 0.0191737562417984
Internal step: 33000 Current time: 0.01977352797985077
Recorded solution at t = 0.019999999552965164 for output index 2
Internal step: 34000 Current time: 0.020373057574033737
Internal step: 35000 Current time: 0.020972829312086105
Internal step: 36000 Current time: 0.021572601050138474
Internal step: 37000 Current time: 0.02217237278819084
Internal step: 38000 Current time: 0.02277214452624321
Internal step: 39000 Current time: 0.023371916264295578
Internal step: 40000 Current time: 0.023971688002347946
Internal step: 41000 Current time: 0.024571459740400314
Internal step: 42000 Current time: 0.025171231478452682
Internal step: 43000 Current time: 0.02577100321650505
Internal step: 44000 Current time: 0.02637077495455742
Internal step: 45000 Current time: 0.026970546692609787
Internal step: 46000 Current time: 0.027570318430662155
Internal step: 47000 Current time: 0.028170090168714523
Internal step: 48000 Current time: 0.02876986190676689
Internal step: 49000 Current time: 0.02936963364481926
Internal step: 50000 Current time: 0.029969405382871628
Recorded solution at t = 0.029999999329447746 for output index 3
Internal step: 51000 Current time: 0.03056858293712139
Internal step: 52000 Current time: 0.03116835467517376
Internal step: 53000 Current time: 0.03176812455058098
Internal step: 54000 Current time: 0.03236789628863335
Internal step: 55000 Current time: 0.032967668026685715
Internal step: 56000 Current time: 0.03356743976473808
Internal step: 57000 Current time: 0.03416721150279045
Internal step: 58000 Current time: 0.03476698324084282
Internal step: 59000 Current time: 0.03536675497889519
Internal step: 60000 Current time: 0.035966526716947556
Internal step: 61000 Current time: 0.036566298454999924
Internal step: 62000 Current time: 0.03716607019305229
Internal step: 63000 Current time: 0.03776584193110466
Internal step: 64000 Current time: 0.03836561366915703
Internal step: 65000 Current time: 0.038965385407209396
Internal step: 66000 Current time: 0.039565157145261765
Recorded solution at t = 0.03999999910593033 for output index 4
Internal step: 67000 Current time: 0.04016433656215668
Internal step: 68000 Current time: 0.040764108300209045
Internal step: 69000 Current time: 0.041363880038261414
Internal step: 70000 Current time: 0.04196365177631378
Internal step: 71000 Current time: 0.04256342351436615
Internal step: 72000 Current time: 0.04316319525241852
Internal step: 73000 Current time: 0.043762966990470886
Internal step: 74000 Current time: 0.044362738728523254
Internal step: 75000 Current time: 0.04496251046657562
Internal step: 76000 Current time: 0.04556228220462799
Internal step: 77000 Current time: 0.04616205394268036
Internal step: 78000 Current time: 0.04676182568073273
Internal step: 79000 Current time: 0.047361597418785095
Internal step: 80000 Current time: 0.04796136915683746
Internal step: 81000 Current time: 0.04856114089488983
Internal step: 82000 Current time: 0.0491609126329422
Internal step: 83000 Current time: 0.04976068437099457
Recorded solution at t = 0.04999999701976776 for output index 5
Internal step: 84000 Current time: 0.05035986006259918
Internal step: 85000 Current time: 0.05095963180065155
Internal step: 86000 Current time: 0.05155940353870392
Internal step: 87000 Current time: 0.05215917527675629
Internal step: 88000 Current time: 0.052758947014808655
Internal step: 89000 Current time: 0.05335871875286102
Internal step: 90000 Current time: 0.05395849049091339
Internal step: 91000 Current time: 0.05455826222896576
Internal step: 92000 Current time: 0.05515803396701813
Internal step: 93000 Current time: 0.055757805705070496
Internal step: 94000 Current time: 0.056357577443122864
Internal step: 95000 Current time: 0.05695734918117523
Internal step: 96000 Current time: 0.0575571209192276
Internal step: 97000 Current time: 0.05815689265727997
Internal step: 98000 Current time: 0.058756664395332336
Internal step: 99000 Current time: 0.059356436133384705
Internal step: 100000 Current time: 0.05995620787143707
Recorded solution at t = 0.05999999865889549 for output index 6
Internal step: 101000 Current time: 0.060555387288331985
Internal step: 102000 Current time: 0.061155159026384354
Internal step: 103000 Current time: 0.06175493076443672
Internal step: 104000 Current time: 0.06235470250248909
Internal step: 105000 Current time: 0.06295165419578552
Internal step: 106000 Current time: 0.06354770064353943
Internal step: 107000 Current time: 0.06414374709129333
Internal step: 108000 Current time: 0.06473979353904724
Internal step: 109000 Current time: 0.06533583998680115
Internal step: 110000 Current time: 0.06593188643455505
Internal step: 111000 Current time: 0.06652793288230896
Internal step: 112000 Current time: 0.06712397933006287
Internal step: 113000 Current time: 0.06772002577781677
Internal step: 114000 Current time: 0.06831607222557068
Internal step: 115000 Current time: 0.06891211867332458
Internal step: 116000 Current time: 0.06950816512107849
Recorded solution at t = 0.07000000029802322 for output index 7
Internal step: 117000 Current time: 0.0701037123799324
Internal step: 118000 Current time: 0.07069975882768631
Internal step: 119000 Current time: 0.07129580527544022
Internal step: 120000 Current time: 0.07189185172319412
