Loaded data with shape: (50, 101, 1024), (50, 101, 1024), (50, 101, 1024), (101,)
##### Running the solver on the given dataset #####
Using device: cuda
Time: 0.000000, dt: 0.000010, Target: 0.010000, Max vel: 2.2404, Min density: 1.0237e+00, Min pressure: 1.0163e+01
Time: 0.001001, dt: 0.000010, Target: 0.010000, Max vel: 2.2521, Min density: 1.0404e+00, Min pressure: 1.0319e+01
Time: 0.002003, dt: 0.000010, Target: 0.010000, Max vel: 2.2642, Min density: 1.0388e+00, Min pressure: 1.0476e+01
Time: 0.003004, dt: 0.000010, Target: 0.010000, Max vel: 2.2768, Min density: 1.0386e+00, Min pressure: 1.0640e+01
Time: 0.004005, dt: 0.000010, Target: 0.010000, Max vel: 2.2895, Min density: 1.0401e+00, Min pressure: 1.0809e+01
Time: 0.005007, dt: 0.000010, Target: 0.010000, Max vel: 2.3023, Min density: 1.0433e+00, Min pressure: 1.0977e+01
Time: 0.006008, dt: 0.000010, Target: 0.010000, Max vel: 2.3151, Min density: 1.0482e+00, Min pressure: 1.1098e+01
Time: 0.007010, dt: 0.000010, Target: 0.010000, Max vel: 2.3276, Min density: 1.0550e+00, Min pressure: 1.1117e+01
Time: 0.008001, dt: 0.000010, Target: 0.010000, Max vel: 2.3396, Min density: 1.0635e+00, Min pressure: 1.1135e+01
Time: 0.009003, dt: 0.000010, Target: 0.010000, Max vel: 2.3511, Min density: 1.0737e+00, Min pressure: 1.1153e+01
Time: 0.010010, dt: 0.000010, Target: 0.020000, Max vel: 2.3618, Min density: 1.0855e+00, Min pressure: 1.1172e+01
Time: 0.011001, dt: 0.000010, Target: 0.020000, Max vel: 2.3715, Min density: 1.0983e+00, Min pressure: 1.1189e+01
Time: 0.012003, dt: 0.000010, Target: 0.020000, Max vel: 2.3803, Min density: 1.1120e+00, Min pressure: 1.1207e+01
Time: 0.013004, dt: 0.000010, Target: 0.020000, Max vel: 2.3880, Min density: 1.1261e+00, Min pressure: 1.1225e+01
Time: 0.014005, dt: 0.000010, Target: 0.020000, Max vel: 2.3946, Min density: 1.1403e+00, Min pressure: 1.1242e+01
Time: 0.015007, dt: 0.000010, Target: 0.020000, Max vel: 2.3999, Min density: 1.1544e+00, Min pressure: 1.1259e+01
Time: 0.016008, dt: 0.000010, Target: 0.020000, Max vel: 2.4039, Min density: 1.1681e+00, Min pressure: 1.1275e+01
Time: 0.017010, dt: 0.000010, Target: 0.020000, Max vel: 2.4067, Min density: 1.1811e+00, Min pressure: 1.1291e+01
Time: 0.018001, dt: 0.000010, Target: 0.020000, Max vel: 2.4081, Min density: 1.1931e+00, Min pressure: 1.1307e+01
Time: 0.019003, dt: 0.000010, Target: 0.020000, Max vel: 2.4084, Min density: 1.2044e+00, Min pressure: 1.1322e+01
Time: 0.020010, dt: 0.000010, Target: 0.030000, Max vel: 2.4073, Min density: 1.2149e+00, Min pressure: 1.1337e+01
Time: 0.021001, dt: 0.000010, Target: 0.030000, Max vel: 2.4052, Min density: 1.2242e+00, Min pressure: 1.1351e+01
Time: 0.022003, dt: 0.000010, Target: 0.030000, Max vel: 2.4018, Min density: 1.2288e+00, Min pressure: 1.1364e+01
Time: 0.023004, dt: 0.000010, Target: 0.030000, Max vel: 2.3975, Min density: 1.2228e+00, Min pressure: 1.1377e+01
Time: 0.024005, dt: 0.000010, Target: 0.030000, Max vel: 2.3920, Min density: 1.2177e+00, Min pressure: 1.1389e+01
Time: 0.025007, dt: 0.000010, Target: 0.030000, Max vel: 2.3857, Min density: 1.2135e+00, Min pressure: 1.1400e+01
Time: 0.026008, dt: 0.000010, Target: 0.030000, Max vel: 2.3784, Min density: 1.2102e+00, Min pressure: 1.1411e+01
Time: 0.027010, dt: 0.000010, Target: 0.030000, Max vel: 2.3703, Min density: 1.2078e+00, Min pressure: 1.1421e+01
